Order_Items_id,Order_id,Product_id,Product_name,Quantity,Sales,Profit,Order_Date,Region,Category,,,,,,,,,,,
101,1,1,Printer,4,3640,348.93,31-12-2024,North,Office,,Product_id,Product_name,,,,,,,,
102,2,2,Mouse,7,1197,106.53,27-11-2022,East,Accessories,,1,Printer,,,,,,,,
103,3,3,Tablet,5,5865,502.73,11-05-2022,South,Electronics,,2,Mouse,,,,,,,,
104,4,2,Mouse,2,786,202.87,16-03-2024,South,Accessories,,3,Tablet,,,,,,,,
105,5,2,Mouse,1,509,103.28,10-09-2022,West,Accessories,,4,Camera,,,,,,,,
106,6,4,Camera,1,524,106.35,01-12-2023,West,Electronics,,5,Headphones,,,,,,,,
107,7,5,Headphones,7,6167,1027.98,09-10-2023,North,Accessories,,6,Smartwatch,,,,,,,,
108,8,4,Camera,7,3059,873.5,14-01-2022,South,Electronics,,7,Monitor,,,,,,,,
109,9,6,Smartwatch,9,5526,595.28,02-04-2022,East,Electronics,,8,Smartphone,,,,,,,,
110,10,1,Printer,8,672,186.37,22-10-2024,South,Office,,9,Keyboard,,,,,,,,
111,11,7,Monitor,6,7074,1357.68,04-12-2023,South,Accessories,,10,Laptop,,,,,,,,
112,12,6,Smartwatch,2,502,137.4,27-09-2022,East,Electronics,,,,,,,,,,,
113,13,3,Tablet,7,7462,2166.17,21-12-2023,North,Electronics,,,,,,,,,,,
114,14,8,Smartphone,5,4205,585.29,03-02-2024,West,Electronics,,,,,,,,,,,
115,15,4,Camera,1,570,138.54,10-10-2023,West,Electronics,,,,,,,,,,,
116,16,5,Headphones,1,441,102.42,16-10-2022,East,Accessories,,,,,,,,,,,
117,17,2,Mouse,7,7469,589.81,15-05-2022,North,Accessories,,,,,,,,,,,
118,18,3,Tablet,2,2212,145.75,11-02-2023,South,Electronics,,,,,,,,,,,
119,19,3,Tablet,5,740,146.39,27-12-2023,East,Electronics,,,,,,,,,,,
120,20,5,Headphones,1,662,193.92,05-10-2023,North,Accessories,,,,,,,,,,,
121,21,2,Mouse,7,5712,651.27,05-03-2024,North,Accessories,,,,,,,,,,,
122,22,6,Smartwatch,3,2739,572.73,18-07-2023,North,Electronics,,,,,,,,,,,
123,23,9,Keyboard,5,1400,213.63,25-06-2023,West,Accessories,,,,,,,,,,,
124,24,1,Printer,3,3477,939.2,13-11-2023,North,Office,,,,,,,,,,,
125,25,4,Camera,5,3475,570.36,09-07-2022,North,Electronics,,,,,,,,,,,
126,26,10,Laptop,9,6138,1562.14,11-12-2023,West,Electronics,,,,,,,,,,,
